"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"11106","GO:0044380",0.00578658457108094,0.997334925042244,26,65,"protein localization to cytoskeleton","BP"
"3756","GO:0008104",0.00580008077817064,0.994978779137174,644,2450,"protein localization","BP"
"21582","GO:2000318",0.00581847698841991,0.998651047751333,10,18,"positive regulation of T-helper 17 type immune response","BP"
"8476","GO:0032945",0.00582184440084898,0.997070872593398,31,86,"negative regulation of mononuclear cell proliferation","BP"
"3465","GO:0007051",0.00582660486133904,0.996310857601766,64,199,"spindle organization","BP"
"2688","GO:0005794",0.00588240956237236,0.995053528238896,425,1581,"Golgi apparatus","CC"
"16982","GO:0097431",0.0059009400344591,0.997825153720587,17,39,"mitotic spindle pole","CC"
"13401","GO:0051712",0.00596698449458601,0.999290671730468,6,9,"positive regulation of killing of cells of another organism","BP"
"1180","GO:0002718",0.00601709397948107,0.996669361109365,40,116,"regulation of cytokine production involved in immune response","BP"
"8897","GO:0034134",0.0060183813045355,0.998725824929272,9,16,"toll-like receptor 2 signaling pathway","BP"
"912","GO:0002287",0.00609766137050447,0.996971455999955,30,81,"alpha-beta T cell activation involved in immune response","BP"
"916","GO:0002293",0.00609766137050447,0.996971455999955,30,81,"alpha-beta T cell differentiation involved in immune response","BP"
"8682","GO:0033365",0.00619033660250247,0.995005979105887,268,971,"protein localization to organelle","BP"
"17191","GO:0098657",0.00625166259894236,0.995002635580177,246,882,"import into cell","BP"
"3958","GO:0008430",0.00640234732674047,0.999226393695356,6,9,"selenium binding","MF"
"9881","GO:0036336",0.00641149002971488,0.99789121442502,14,31,"dendritic cell migration","BP"
"8091","GO:0032386",0.00641464282803172,0.995701633193696,80,256,"regulation of intracellular transport","BP"
"13121","GO:0051152",0.00642551722860639,0.998623942270652,9,16,"positive regulation of smooth muscle cell differentiation","BP"
"8962","GO:0034244",0.00644703447362822,0.99843053721485,10,19,"negative regulation of transcription elongation by RNA polymerase II","BP"
"6277","GO:0019219",0.00653486052497757,0.994217390753888,940,3654,"regulation of nucleobase-containing compound metabolic process","BP"
"9952","GO:0036499",0.00658616833314391,0.998391076384871,10,19,"PERK-mediated unfolded protein response","BP"
"7581","GO:0031400",0.00663382022641087,0.995384658408523,95,314,"negative regulation of protein modification process","BP"
"8425","GO:0032879",0.00667300500938222,0.994302407112154,503,1897,"regulation of localization","BP"
"2484","GO:0005344",0.00673419876985533,0.99907518985223,6,10,"oxygen carrier activity","MF"
"10169","GO:0042093",0.0067690237449014,0.996654188879869,29,78,"T-helper cell differentiation","BP"
"11950","GO:0046605",0.00686725142050821,0.997010833930679,22,55,"regulation of centrosome cycle","BP"
"1574","GO:0003712",0.00692502368435491,0.994799481543288,148,508,"transcription coregulator activity","MF"
"16436","GO:0090084",0.00695090311695113,0.998927834647369,7,11,"negative regulation of inclusion body assembly","BP"
"1976","GO:0004520",0.00698926583260072,0.997354270363945,17,40,"DNA endonuclease activity","MF"
"3000","GO:0006355",0.00705999280187138,0.99379134857781,806,3112,"regulation of DNA-templated transcription","BP"
"2350","GO:0005102",0.00706795323538444,0.994118833404642,355,1343,"signaling receptor binding","MF"
"21790","GO:2000629",0.00709294826497963,0.997663246780851,14,30,"negative regulation of miRNA metabolic process","BP"
"2700","GO:0005819",0.0071273699124284,0.994806148863631,121,411,"spindle","CC"
"14029","GO:0060438",0.00712758242894197,0.998236156138998,10,19,"trachea development","BP"
"5957","GO:0016889",0.00720258090777443,0.999105447340512,6,9,"DNA endonuclease activity, producing 3'-phosphomonoesters","MF"
"8970","GO:0034260",0.007254364147441,0.998199573707911,10,19,"negative regulation of GTPase activity","BP"
"7026","GO:0030185",0.00725516780528165,0.999646351075689,4,5,"nitric oxide transport","BP"
"13364","GO:0051640",0.00725712503973278,0.994431988730876,170,594,"organelle localization","BP"
"19643","GO:1903050",0.00740914097540563,0.995109118435027,72,231,"regulation of proteolysis involved in protein catabolic process","BP"
"11055","GO:0044249",0.00745564567503923,0.993268741447319,1675,6717,"cellular biosynthetic process","BP"
"5878","GO:0016773",0.00746889315506225,0.994197119710608,187,646,"phosphotransferase activity, alcohol group as acceptor","MF"
"2349","GO:0005096",0.00747590554928487,0.994948228686164,81,255,"GTPase activator activity","MF"
"13119","GO:0051150",0.00751004268376968,0.997261794573579,16,36,"regulation of smooth muscle cell differentiation","BP"
"900","GO:0002274",0.0075345832761116,0.995047967206131,70,227,"myeloid leukocyte activation","BP"
"11432","GO:0045581",0.00754381763308871,0.996912240387551,19,47,"negative regulation of T cell differentiation","BP"
"2697","GO:0005814",0.00755773887579251,0.995402232541046,52,157,"centriole","CC"
"2996","GO:0006351",0.00756168521799452,0.99333176829998,834,3231,"DNA-templated transcription","BP"
"12573","GO:0048646",0.00758438279513032,0.993769671679444,306,1114,"anatomical structure formation involved in morphogenesis","BP"
"12405","GO:0048248",0.00761600143415904,0.999623049155815,4,5,"CXCR3 chemokine receptor binding","MF"
"5877","GO:0016772",0.00764896058413417,0.993874714802869,239,848,"transferase activity, transferring phosphorus-containing groups","MF"
"10882","GO:0043517",0.00766153261921992,0.998242114900459,9,17,"positive regulation of DNA damage response, signal transduction by p53 class mediator","BP"
"19648","GO:1903055",0.00772904427015052,0.997424605888115,14,30,"positive regulation of extracellular matrix organization","BP"
"8745","GO:0033599",0.0077838976257028,0.998461374480687,8,14,"regulation of mammary gland epithelial cell proliferation","BP"
"19213","GO:1902017",0.00784203753017628,0.996195792705333,27,71,"regulation of cilium assembly","BP"
"1238","GO:0002821",0.00801679271209054,0.995325855970933,44,132,"positive regulation of adaptive immune response","BP"
"4550","GO:0010172",0.00801815939093476,0.998725207024058,7,11,"embryonic body morphogenesis","BP"
"8330","GO:0032731",0.00817766521371691,0.996350733944778,22,57,"positive regulation of interleukin-1 beta production","BP"
"5743","GO:0016493",0.00821508043416661,0.99766348073988,11,23,"C-C chemokine receptor activity","MF"
"8258","GO:0032620",0.00823423553800716,0.99691568999398,16,38,"interleukin-17 production","BP"
"8286","GO:0032660",0.00823423553800716,0.99691568999398,16,38,"regulation of interleukin-17 production","BP"
"18731","GO:1900076",0.00832562170095242,0.995992428550244,26,69,"regulation of cellular response to insulin stimulus","BP"
"10172","GO:0042101",0.00833687407109724,0.998058392953049,9,17,"T cell receptor complex","CC"
"13118","GO:0051149",0.00838868479526059,0.996107701988707,24,62,"positive regulation of muscle cell differentiation","BP"
"8231","GO:0032588",0.00841711163982626,0.995311938809675,38,109,"trans-Golgi network membrane","CC"
"21112","GO:1990226",0.00843071551201486,0.998307699490344,8,14,"histone methyltransferase binding","MF"
"4409","GO:0009615",0.00849536458004583,0.993822116203556,114,392,"response to virus","BP"
"10492","GO:0042771",0.00853960245624216,0.996457115823414,19,47,"intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","BP"
"22010","GO:2001141",0.00861679729414512,0.992397496609037,809,3131,"regulation of RNA biosynthetic process","BP"
"13818","GO:0060142",0.00862569512390659,0.9973409893007,12,26,"regulation of syncytium formation by plasma membrane fusion","BP"
"19750","GO:1903320",0.0087618084620326,0.994144655383194,73,237,"regulation of protein modification by small protein conjugation or removal","BP"
"11562","GO:0045787",0.00878792199539608,0.993773155123113,98,327,"positive regulation of cell cycle","BP"
"16581","GO:0090304",0.00879225847852188,0.992116473920237,1183,4672,"nucleic acid metabolic process","BP"
"7554","GO:0031341",0.00880053206349013,0.995192248426479,35,103,"regulation of cell killing","BP"
"11888","GO:0046488",0.00880214710364199,0.994749442556761,47,139,"phosphatidylinositol metabolic process","BP"
"10099","GO:0039531",0.00881252817803142,0.994990873464902,40,116,"regulation of cytoplasmic pattern recognition receptor signaling pathway","BP"
"89","GO:0000209",0.00886679671705455,0.993979386600515,79,254,"protein polyubiquitination","BP"
"869","GO:0002220",0.00888916238255619,0.995364597943546,31,87,"innate immune response activating cell surface receptor signaling pathway","BP"
"8093","GO:0032388",0.00890437241760956,0.994748002477691,45,133,"positive regulation of intracellular transport","BP"
"7039","GO:0030204",0.00894753081139553,0.997268918170281,12,25,"chondroitin sulfate metabolic process","BP"
"6423","GO:0019724",0.00898419613187086,0.994751473530686,43,130,"B cell mediated immunity","BP"
"6984","GO:0030130",0.0091263909162117,0.997840010837887,9,17,"clathrin coat of trans-Golgi network vesicle","CC"
"4797","GO:0010804",0.00913492177101338,0.997160221621389,12,26,"negative regulation of tumor necrosis factor-mediated signaling pathway","BP"
"14380","GO:0061043",0.00925360621253434,0.998356325943119,7,12,"regulation of vascular wound healing","BP"
"15497","GO:0071260",0.009300976202845,0.995396774059349,27,73,"cellular response to mechanical stimulus","BP"
"13162","GO:0051241",0.00941644365684699,0.992292868989667,277,1023,"negative regulation of multicellular organismal process","BP"
"11961","GO:0046626",0.00944368645054295,0.995554626184122,24,63,"regulation of insulin receptor signaling pathway","BP"
"9886","GO:0036344",0.00946499893627717,0.997086807388752,12,25,"platelet morphogenesis","BP"
"7519","GO:0031272",0.00957962738494227,0.998285860346044,7,12,"regulation of pseudopodium assembly","BP"
"7520","GO:0031274",0.00957962738494227,0.998285860346044,7,12,"positive regulation of pseudopodium assembly","BP"
"19554","GO:1902894",0.00958443833167672,0.996850687522205,13,28,"negative regulation of miRNA transcription","BP"
"2083","GO:0004672",0.00961240198216243,0.992630459287679,159,543,"protein kinase activity","MF"
"1241","GO:0002824",0.00961369830876375,0.994400286085991,42,126,"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"14694","GO:0061809",0.00971574096936099,0.997995227917454,8,14,"NAD+ nucleotidase, cyclic ADP-ribose generating","MF"
"19879","GO:1903561",0.00978512765304757,0.991570791932157,511,1983,"extracellular vesicle","CC"
"5327","GO:0015669",0.00981603037377128,0.99779736752147,8,16,"gas transport","BP"
"8541","GO:0033036",0.00987237838068781,0.991304612457842,749,2892,"macromolecule localization","BP"
"3511","GO:0007162",0.00992410154279849,0.993099891630747,86,284,"negative regulation of cell adhesion","BP"
"16549","GO:0090261",0.00996709321023983,0.999462591083855,4,5,"positive regulation of inclusion body assembly","BP"
"20596","GO:1904951",0.00997956892970435,0.992958355072366,93,308,"positive regulation of establishment of protein localization","BP"
"17136","GO:0098543",0.0100074024856981,0.99759202118271,9,17,"detection of other organism","BP"
"18113","GO:0140297",0.0100467294313475,0.992462092925339,134,462,"DNA-binding transcription factor binding","MF"
"5091","GO:0014902",0.0100472512440589,0.994235477446298,40,116,"myotube differentiation","BP"
"15553","GO:0071353",0.010091503011751,0.996275417683936,15,35,"cellular response to interleukin-4","BP"
"13938","GO:0060324",0.0100974431815724,0.995513682925621,21,53,"face development","BP"
"10712","GO:0043230",0.0101219078380347,0.991274992975591,511,1984,"extracellular organelle","CC"
"14852","GO:0065010",0.0101219078380347,0.991274992975591,511,1984,"extracellular membrane-bounded organelle","CC"
"5872","GO:0016758",0.0101613461367615,0.99351596598225,58,181,"hexosyltransferase activity","MF"
"3419","GO:0006974",0.0101642651285555,0.991767405385468,245,896,"DNA damage response","BP"
"298","GO:0000912",0.0102890652761928,0.998609042859213,6,9,"assembly of actomyosin apparatus involved in cytokinesis","BP"
"299","GO:0000915",0.0102890652761928,0.998609042859213,6,9,"actomyosin contractile ring assembly","BP"
"15095","GO:0070426",0.0103844916370615,0.998980489821517,5,7,"positive regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","BP"
"15866","GO:0071895",0.0103948584499444,0.99748159497278,9,17,"odontoblast differentiation","BP"
"13428","GO:0051771",0.0104089763299319,1,3,3,"negative regulation of nitric-oxide synthase biosynthetic process","BP"
"15469","GO:0071214",0.0104680822692517,0.992535979417058,97,326,"cellular response to abiotic stimulus","BP"
"17642","GO:0104004",0.0104680822692517,0.992535979417058,97,326,"cellular response to environmental stimulus","BP"
"4486","GO:0009897",0.0104947733075085,0.992370260865184,108,371,"external side of plasma membrane","CC"
"11437","GO:0045586",0.0105866173375545,0.998558930855812,6,9,"regulation of gamma-delta T cell differentiation","BP"
"2000","GO:0004559",0.0106397675588798,0.997765055005738,8,14,"alpha-mannosidase activity","MF"
"20038","GO:1903898",0.0106486010107617,0.998947337720894,5,7,"negative regulation of PERK-mediated unfolded protein response","BP"
"13147","GO:0051222",0.0107137687666367,0.992749654131786,74,239,"positive regulation of protein transport","BP"
"2823","GO:0006024",0.0107739802535834,0.994689940089021,26,69,"glycosaminoglycan biosynthetic process","BP"
"21440","GO:2000060",0.0108336636067844,0.994001830861745,35,101,"positive regulation of ubiquitin-dependent protein catabolic process","BP"
"1169","GO:0002707",0.0108844883073615,0.995088424977762,21,55,"negative regulation of lymphocyte mediated immunity","BP"
"392","GO:0001501",0.010912339891067,0.991682530536214,146,511,"skeletal system development","BP"
"5271","GO:0015379",0.010915710467616,0.998503081852902,6,9,"potassium:chloride symporter activity","MF"
"15644","GO:0071496",0.0109629492511847,0.994480965088358,27,74,"cellular response to external stimulus","BP"
"17164","GO:0098609",0.0110751316312733,0.990971717012002,256,929,"cell-cell adhesion","BP"
"15222","GO:0070664",0.0111701111304935,0.993971071312203,32,93,"negative regulation of leukocyte proliferation","BP"
"16174","GO:0072538",0.0112640417772923,0.995055321896673,20,50,"T-helper 17 type immune response","BP"
"1086","GO:0002562",0.0112703891225924,0.99440803419794,26,70,"somatic diversification of immune receptors via germline recombination within a single locus","BP"
"5720","GO:0016444",0.0112703891225924,0.99440803419794,26,70,"somatic cell DNA recombination","BP"
"2292","GO:0004982",0.011272346727268,1,3,3,"N-formyl peptide receptor activity","MF"
"7828","GO:0031929",0.0113393421741931,0.992845572507248,54,167,"TOR signaling","BP"
"10255","GO:0042307",0.0114545770886554,0.995373467423223,17,41,"positive regulation of protein import into nucleus","BP"
"6530","GO:0019957",0.011477228427203,0.996502432239734,11,24,"C-C chemokine binding","MF"
"986","GO:0002407",0.0115092836487575,0.996491119950253,11,24,"dendritic cell chemotaxis","BP"
"9720","GO:0035990",0.0115289381901215,1,3,3,"tendon cell differentiation","BP"
"9721","GO:0035992",0.0115289381901215,1,3,3,"tendon formation","BP"
"5539","GO:0016064",0.0115871593860136,0.993150302350973,42,128,"immunoglobulin mediated immune response","BP"
"4758","GO:0010738",0.011630516762542,0.998821998050017,5,7,"regulation of protein kinase A signaling","BP"
"10087","GO:0038202",0.011646313662915,0.993402199656154,37,107,"TORC1 signaling","BP"
"18923","GO:1901135",0.0116736000030801,0.990474106699831,253,939,"carbohydrate derivative metabolic process","BP"
"10766","GO:0043309",0.0116878492993318,1,3,3,"regulation of eosinophil degranulation","BP"
"17312","GO:0098876",0.011698574602613,0.992755543663799,50,152,"vesicle-mediated transport to the plasma membrane","BP"
"14882","GO:0070062",0.0117096250872752,0.989888156472562,503,1956,"extracellular exosome","CC"
"6964","GO:0030101",0.0117097128949217,0.993865326751621,29,84,"natural killer cell activation","BP"
"2015","GO:0004576",0.0117283550387792,0.999333462920421,4,5,"oligosaccharyl transferase activity","MF"
"2018","GO:0004579",0.0117283550387792,0.999333462920421,4,5,"dolichyl-diphosphooligosaccharide-protein glycotransferase activity","MF"
"9710","GO:0035976",0.011810391162244,0.999327276081895,4,5,"transcription factor AP-1 complex","CC"
"16514","GO:0090199",0.0118209292265747,0.995309476419687,16,40,"regulation of release of cytochrome c from mitochondria","BP"
"14381","GO:0061044",0.0118466765074947,0.999324534843091,4,5,"negative regulation of vascular wound healing","BP"
"2822","GO:0006023",0.0118826285430889,0.99398747624473,27,73,"aminoglycan biosynthetic process","BP"
"7960","GO:0032183",0.011894800939308,0.997046725150873,9,17,"SUMO binding","MF"
"4196","GO:0009101",0.0120617016343162,0.991465360329474,90,298,"glycoprotein biosynthetic process","BP"
"4457","GO:0009791",0.0121256529712376,0.993534050191396,31,85,"post-embryonic development","BP"
"17244","GO:0098758",0.0122316247331819,1,3,3,"response to interleukin-8","BP"
"17245","GO:0098759",0.0122316247331819,1,3,3,"cellular response to interleukin-8","BP"
"1576","GO:0003714",0.0122477551943612,0.991998711416598,61,193,"transcription corepressor activity","MF"
"16677","GO:0090559",0.0122662629810366,0.994028503929549,24,66,"regulation of membrane permeability","BP"
"19133","GO:1901800",0.0122762365660666,0.993001193161595,37,109,"positive regulation of proteasomal protein catabolic process","BP"
"18536","GO:0150077",0.0122800561816893,0.995509597185197,14,33,"regulation of neuroinflammatory response","BP"
"4248","GO:0009162",0.0123592641497706,0.996189238694396,11,24,"deoxyribonucleoside monophosphate metabolic process","BP"
"19607","GO:1902996",0.0123623605252423,1,3,3,"regulation of neurofibrillary tangle assembly","BP"
"2821","GO:0006022",0.0124139314272958,0.992745606665891,40,119,"aminoglycan metabolic process","BP"
"3504","GO:0007155",0.0124783636652988,0.989413243313264,389,1450,"cell adhesion","BP"
"19131","GO:1901798",0.0124858694252721,0.995640847175597,13,30,"positive regulation of signal transduction by p53 class mediator","BP"
"2348","GO:0005095",0.0125174269593681,0.997627570717533,7,12,"GTPase inhibitor activity","MF"
"21355","GO:1990841",0.0125308658420812,0.993817617217514,25,67,"promoter-specific chromatin binding","MF"
"1093","GO:0002576",0.0125311889007307,0.998704247059952,5,7,"platelet degranulation","BP"
"12961","GO:0050900",0.0125423852815703,0.990830865573657,106,371,"leukocyte migration","BP"
"658","GO:0001906",0.0125674492154713,0.991613646571007,65,222,"cell killing","BP"
"5898","GO:0016798",0.012717100900049,0.992541087657845,40,121,"hydrolase activity, acting on glycosyl bonds","MF"
"5211","GO:0015217",0.0127477801729096,0.997966495706457,6,10,"ADP transmembrane transporter activity","MF"
"19936","GO:1903707",0.0127567895213208,0.992757512744695,36,107,"negative regulation of hemopoiesis","BP"
"10210","GO:0042176",0.0127575378939431,0.990696441494271,105,357,"regulation of protein catabolic process","BP"
"11443","GO:0045596",0.0127652495832387,0.9900067635203,171,612,"negative regulation of cell differentiation","BP"
"14426","GO:0061136",0.0127910843423583,0.991645293478299,60,192,"regulation of proteasomal protein catabolic process","BP"
"903","GO:0002277",0.0128042088507121,1,3,3,"myeloid dendritic cell activation involved in immune response","BP"
"4957","GO:0014015",0.0128279385125072,0.993640664636639,25,68,"positive regulation of gliogenesis","BP"
"11975","GO:0046640",0.0128340000073766,0.994713267140155,17,42,"regulation of alpha-beta T cell proliferation","BP"
"11634","GO:0045925",0.0128699177101237,1,3,3,"positive regulation of female receptivity","BP"
"9956","GO:0036503",0.0128907146415145,0.99262345224291,37,109,"ERAD pathway","BP"
"19111","GO:1901701",0.012926384201193,0.989284592885926,291,1079,"cellular response to oxygen-containing compound","BP"
"7709","GO:0031647",0.0129975686467357,0.990554522693495,102,349,"regulation of protein stability","BP"
"2240","GO:0004911",0.0130351888513339,1,3,3,"interleukin-2 receptor activity","MF"
"6542","GO:0019976",0.0130351888513339,1,3,3,"interleukin-2 binding","MF"
"12082","GO:0046902",0.0130594545960169,0.994102874802405,20,53,"regulation of mitochondrial membrane permeability","BP"
"3103","GO:0006511",0.0130763486794479,0.989712964173446,177,633,"ubiquitin-dependent protein catabolic process","BP"
"17827","GO:0110078",0.0131108095596107,1,3,3,"TTT Hsp90 cochaperone complex","CC"
"21640","GO:2000394",0.013239163794401,0.998609899296011,5,7,"positive regulation of lamellipodium morphogenesis","BP"
"17139","GO:0098552",0.0132808300681053,0.989467118575751,188,682,"side of membrane","CC"
"8490","GO:0032968",0.0134268865014765,0.994086673491864,19,49,"positive regulation of transcription elongation by RNA polymerase II","BP"
"7716","GO:0031664",0.0134822919991185,0.995784916029207,11,24,"regulation of lipopolysaccharide-mediated signaling pathway","BP"
"1070","GO:0002532",0.0135446361372121,0.992913316819355,28,80,"production of molecular mediator involved in inflammatory response","BP"
"925","GO:0002312",0.0135536158193988,0.992566868761659,32,93,"B cell activation involved in immune response","BP"
"11438","GO:0045588",0.0135721614150234,0.998564994263159,5,7,"positive regulation of gamma-delta T cell differentiation","BP"
"3956","GO:0008428",0.013609697944771,1,3,3,"ribonuclease inhibitor activity","MF"
"19121","GO:1901739",0.0136579565725629,0.996416580670325,9,18,"regulation of myoblast fusion","BP"
"5860","GO:0016740",0.0136847195534543,0.9880844488352,551,2101,"transferase activity","MF"
"6293","GO:0019243",0.0137049226804852,1,3,3,"methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione","BP"
"18790","GO:1900182",0.0137118762000718,0.99248373654042,32,92,"positive regulation of protein localization to nucleus","BP"
"12868","GO:0050769",0.0137138710439618,0.990606142228095,74,237,"positive regulation of neurogenesis","BP"
"1165","GO:0002703",0.0137414387653986,0.990605991249011,72,241,"regulation of leukocyte mediated immunity","BP"
"16424","GO:0090068",0.0137680844257395,0.990525808202573,75,246,"positive regulation of cell cycle process","BP"
"10359","GO:0042492",0.013834592521085,0.997319971655532,7,12,"gamma-delta T cell differentiation","BP"
"7074","GO:0030247",0.0138513571562464,0.995650741836637,11,24,"polysaccharide binding","MF"
"7187","GO:0030506",0.0138666543155243,0.996458515303543,9,17,"ankyrin binding","MF"
"7055","GO:0030220",0.0139849389413931,0.995673666254862,11,23,"platelet formation","BP"
"15357","GO:0070939",0.0140126585926846,1,3,3,"Dsl1/NZR complex","CC"
"351","GO:0001094",0.0140142694842332,0.997712690756691,6,10,"TFIID-class transcription factor complex binding","MF"
"9299","GO:0035166",0.0141054221334857,0.999148365649432,4,5,"post-embryonic hemopoiesis","BP"
"13101","GO:0051129",0.0141135052712632,0.988770643926443,191,684,"negative regulation of cellular component organization","BP"
"11256","GO:0045060",0.0141269480837364,0.997250733529605,7,12,"negative thymic T cell selection","BP"
"8421","GO:0032875",0.0142005022860172,1,3,3,"regulation of DNA endoreduplication","BP"
"20039","GO:1903899",0.0142282355859318,1,3,3,"positive regulation of PERK-mediated unfolded protein response","BP"
"3389","GO:0006921",0.0143273246135708,0.994898053553204,13,30,"cellular component disassembly involved in execution phase of apoptosis","BP"
"8655","GO:0033280",0.0143652884700456,0.994404639781962,15,36,"response to vitamin D","BP"
"16974","GO:0097411",0.0143707459733972,0.999126982916694,4,5,"hypoxia-inducible factor-1alpha signaling pathway","BP"
"2891","GO:0006139",0.014517271435754,0.986853525401125,1306,5210,"nucleobase-containing compound metabolic process","BP"
"15077","GO:0070391",0.0146558406909548,0.997581793938277,6,10,"response to lipoteichoic acid","BP"
"15478","GO:0071223",0.0146558406909548,0.997581793938277,6,10,"cellular response to lipoteichoic acid","BP"
"3002","GO:0006357",0.0146717661758525,0.987122055551881,618,2373,"regulation of transcription by RNA polymerase II","BP"
"20342","GO:1904466",0.0146883237562351,1,3,3,"positive regulation of matrix metallopeptidase secretion","BP"
"5425","GO:0015835",0.0147462225486312,1,3,3,"peptidoglycan transport","BP"
"14362","GO:0061024",0.0149211463418479,0.987938849153139,216,790,"membrane organization","BP"
"3718","GO:0008023",0.0149403950896215,0.993368401688954,19,48,"transcription elongation factor complex","CC"
"20669","GO:1905098",0.0149629971688127,0.999078751281639,4,5,"negative regulation of guanyl-nucleotide exchange factor activity","BP"
"17493","GO:0099507",0.0150243616087922,0.997036097528805,7,12,"ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","MF"
"3374","GO:0006897",0.0151296042205934,0.987947410098579,189,680,"endocytosis","BP"
"10355","GO:0042488",0.0151769846846149,1,3,3,"positive regulation of odontogenesis of dentin-containing tooth","BP"
"2078","GO:0004663",0.0152654550687499,0.999053856349808,4,5,"Rab geranylgeranyltransferase activity","MF"
"13937","GO:0060323",0.0152911171287163,0.993771075559311,16,39,"head morphogenesis","BP"
"2595","GO:0005615",0.0153492672657727,0.986397571717314,723,2889,"extracellular space","CC"
"20542","GO:1904861",0.0153959895443536,0.993764332992166,16,38,"excitatory synapse assembly","BP"
"3088","GO:0006487",0.0153962500385411,0.992096667118562,26,72,"protein N-linked glycosylation","BP"
"15721","GO:0071629",0.0154280088419231,1,3,3,"cytoplasm protein quality control by the ubiquitin-proteasome system","BP"
"14925","GO:0070141",0.015437106225514,0.99675808672296,7,13,"response to UV-A","BP"
"12533","GO:0048566",0.0154487742163281,0.994169628589905,14,33,"embryonic digestive tract development","BP"
"9794","GO:0036121",0.0154520607815667,1,3,3,"double-stranded DNA helicase activity","MF"
"7623","GO:0031460",0.015493829510018,1,3,3,"glycine betaine transport","BP"
"15090","GO:0070418",0.0155104087429823,0.999033565749726,4,5,"DNA-dependent protein kinase complex","CC"
"9300","GO:0035173",0.0155706350867541,0.989186645605409,77,245,"histone kinase activity","MF"
"907","GO:0002281",0.015579725751244,0.995708184109252,9,19,"macrophage activation involved in immune response","BP"
"18988","GO:1901329",0.0157259295431363,0.997360138438226,6,10,"regulation of odontoblast differentiation","BP"
"1022","GO:0002456",0.0158154942918992,0.990417712642655,42,131,"T cell mediated immunity","BP"
"1829","GO:0004307",0.0158683828819621,1,3,3,"ethanolaminephosphotransferase activity","MF"
"12939","GO:0050868",0.0158980775231096,0.99049547624992,40,124,"negative regulation of T cell activation","BP"
"8159","GO:0032469",0.0159181771188896,0.994549079839491,12,27,"endoplasmic reticulum calcium ion homeostasis","BP"
"19537","GO:1902850",0.0159541004886788,0.989789152225113,52,164,"microtubule cytoskeleton organization involved in mitosis","BP"
"13255","GO:0051403",0.0159764598209116,0.992650336760501,20,52,"stress-activated MAPK cascade","BP"
"12863","GO:0050764",0.0159839817802554,0.991087183601317,32,95,"regulation of phagocytosis","BP"
"19261","GO:1902117",0.0160503989507108,0.991188826318796,31,88,"positive regulation of organelle assembly","BP"
"4485","GO:0009896",0.0160753270963618,0.987548781149712,148,521,"positive regulation of catabolic process","BP"
"14745","GO:0061908",0.0160845625480995,1,3,3,"phagophore","CC"
"6854","GO:0022604",0.0161148331870184,0.988863460623793,74,238,"regulation of cell morphogenesis","BP"
"7090","GO:0030278",0.0161410437556019,0.990431468312559,39,118,"regulation of ossification","BP"
"297","GO:0000910",0.0161803804678399,0.989415278057264,57,180,"cytokinesis","BP"
"13526","GO:0051962",0.0162656068925905,0.988425588700824,86,282,"positive regulation of nervous system development","BP"
"16879","GO:0097202",0.0163088234885475,0.996533544250198,7,13,"activation of cysteine-type endopeptidase activity","BP"
"17409","GO:0099041",0.0163100034985892,0.998966541981018,4,5,"vesicle tethering to Golgi","BP"
"12904","GO:0050816",0.0163590407694979,1,3,3,"phosphothreonine residue binding","MF"
"21564","GO:2000297",0.0164056077667446,1,3,3,"negative regulation of synapse maturation","BP"
"17492","GO:0099505",0.0165877921438701,0.994356898497165,12,26,"regulation of presynaptic membrane potential","BP"
"12784","GO:0050508",0.0166113115401154,1,3,3,"glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity","MF"
"20147","GO:1904059",0.0166559785920571,1,3,3,"regulation of locomotor rhythm","BP"
"1168","GO:0002706",0.0166866458490991,0.989028355154531,57,187,"regulation of lymphocyte mediated immunity","BP"
"7890","GO:0032039",0.0167193811210838,0.995446073416624,9,18,"integrator complex","CC"
"3440","GO:0007010",0.0167303970857483,0.985729483991246,382,1429,"cytoskeleton organization","BP"
"1160","GO:0002698",0.0168171277438851,0.990052117997989,38,117,"negative regulation of immune effector process","BP"
"13973","GO:0060369",0.0168520978712404,0.998920426673569,4,5,"positive regulation of Fc receptor mediated stimulatory signaling pathway","BP"
"8420","GO:0032874",0.016900264411797,0.994924871903423,10,21,"positive regulation of stress-activated MAPK cascade","BP"
"15026","GO:0070304",0.016900264411797,0.994924871903423,10,21,"positive regulation of stress-activated protein kinase signaling cascade","BP"
"15049","GO:0070340",0.0169045471413695,1,3,3,"detection of bacterial lipopeptide","BP"
"6839","GO:0022402",0.0169231768207562,0.985724876072195,329,1232,"cell cycle process","BP"
"6693","GO:0021747",0.0169282279442922,1,3,3,"cochlear nucleus development","BP"
"13169","GO:0051252",0.016971627341441,0.984820436780793,861,3362,"regulation of RNA metabolic process","BP"
